"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","Load Cases: cap","-1.4210854715202E-14","0","-5.55111512312578E-16","0","2.71935252094124E-14","0"
"10000","1000","Load Cases: cap","-1.4210854715202E-14","0","-5.55111512312578E-16","0","2.71935252094124E-14","0"
"10000","1001","Load Cases: cap","1.4210854715202E-14","0","1.0188000202179","0","0.254700005054474","0"
"10000","1001","Load Cases: cap","1.4210854715202E-14","0","1.0188000202179","0","0.254700005054474","0"
"10001","1001","Load Cases: cap","-2.1316282072803E-14","0","-1.0188000202179","0","-0.254700005054474","0"
"10001","1001","Load Cases: cap","-2.1316282072803E-14","0","-1.0188000202179","0","-0.254700005054474","0"
"10001","1002","Load Cases: cap","2.1316282072803E-14","0","2.03760004043579","0","1.0188000202179","0"
"10001","1002","Load Cases: cap","2.1316282072803E-14","0","2.03760004043579","0","1.0188000202179","0"
"10002","1002","Load Cases: cap","-2.8421709430404E-14","0","-2.03760004043579","0","-1.0188000202179","0"
"10002","1002","Load Cases: cap","-2.8421709430404E-14","0","-2.03760004043579","0","-1.0188000202179","0"
"10002","1003","Load Cases: cap","2.8421709430404E-14","0","3.05640006065369","0","2.29229998588562","0"
"10002","1003","Load Cases: cap","2.8421709430404E-14","0","3.05640006065369","0","2.29229998588562","0"
"10003","1003","Load Cases: cap","0","0","-3.05640006065369","0","-2.29229998588562","0"
"10003","1003","Load Cases: cap","0","0","-3.05640006065369","0","-2.29229998588562","0"
"10003","1004","Load Cases: cap","0","0","4.07520008087158","0","4.07520008087158","0"
"10003","1004","Load Cases: cap","0","0","4.07520008087158","0","4.07520008087158","0"
"10004","1004","Load Cases: cap","-4.2632564145606E-14","0","-4.07520008087158","0","-4.07520008087158","0"
"10004","1004","Load Cases: cap","-4.2632564145606E-14","0","-4.07520008087158","0","-4.07520008087158","0"
"10004","1005","Load Cases: cap","4.2632564145606E-14","0","5.0939998626709","0","6.36749982833862","0"
"10004","1005","Load Cases: cap","4.2632564145606E-14","0","5.0939998626709","0","6.36749982833862","0"
"10005","1005","Load Cases: cap","-1.4210854715202E-14","0","-5.0939998626709","0","-6.36749982833862","0"
"10005","1005","Load Cases: cap","-1.4210854715202E-14","0","-5.0939998626709","0","-6.36749982833862","0"
"10005","1006","Load Cases: cap","1.4210854715202E-14","0","6.11280012130737","0","9.16919994354248","0"
"10005","1006","Load Cases: cap","1.4210854715202E-14","0","6.11280012130737","0","9.16919994354248","0"
"10006","1006","Load Cases: cap","-1.4210854715202E-14","0","-6.11280012130737","0","-9.16919994354248","0"
"10006","1006","Load Cases: cap","-1.4210854715202E-14","0","-6.11280012130737","0","-9.16919994354248","0"
