"Member","Joint","Result Case","Force X (kips)","Force Y (kips)","Force Z (kips)","Moment X (kips-ft)","Moment Y (kips-ft)","Moment Z (kips-ft)"
"10000","1000","DC-SRV","2.8421709430404E-14","0","5.20694598549198E-14","0","7.57727214306669E-15","0"
"10000","1000","DC-SRV","2.8421709430404E-14","0","5.20694598549198E-14","0","7.57727214306669E-15","0"
"10000","1001","DC-SRV","-2.8421709430404E-14","0","1.29999995231624","0","0.324999988078616","0"
"10000","1001","DC-SRV","-2.8421709430404E-14","0","1.29999995231624","0","0.324999988078616","0"
"10001","1001","DC-SRV","-4.9737991503207E-13","0","-1.29999995231643","0","-0.324999988078247","0"
"10001","1001","DC-SRV","-4.9737991503207E-13","0","-1.29999995231643","0","-0.324999988078247","0"
"10001","1002","DC-SRV","4.9737991503207E-13","0","2.59999990463272","0","1.29999995231535","0"
"10001","1002","DC-SRV","4.9737991503207E-13","0","2.59999990463272","0","1.29999995231535","0"
"10002","1002","DC-SRV","-2.41584530158434E-13","0","-2.59999990463257","0","-1.29999995231591","0"
"10002","1002","DC-SRV","-2.41584530158434E-13","0","-2.59999990463257","0","-1.29999995231591","0"
"10002","1003","DC-SRV","2.41584530158434E-13","0","3.90000009536743","0","2.92499995231637","0"
"10002","1003","DC-SRV","2.41584530158434E-13","0","3.90000009536743","0","2.92499995231637","0"
"10003","1003","DC-SRV","2.98427949019242E-13","0","-3.90000009536742","0","-2.9249999523154","0"
"10003","1003","DC-SRV","2.98427949019242E-13","0","-3.90000009536742","0","-2.9249999523154","0"
"10003","1004","DC-SRV","-2.98427949019242E-13","0","5.19999980926512","0","5.19999980926471","0"
"10003","1004","DC-SRV","-2.98427949019242E-13","0","5.19999980926512","0","5.19999980926471","0"
"10004","1004","DC-SRV","-2.98427949019242E-13","0","-5.19999980926523","0","-5.19999980926562","0"
"10004","1004","DC-SRV","-2.98427949019242E-13","0","-5.19999980926523","0","-5.19999980926562","0"
"10004","1005","DC-SRV","2.98427949019242E-13","0","6.50000000000009","0","8.12500000000003","0"
